id,value
trumptube,
trumptube.trump,94
trumptube.i,70
trumptube.hillary,63
trumptube.people,47
trumptube.you,42
trumptube.the,37
trumptube.like,32
trumptube.vote,21
trumptube.it,20
trumptube.get,20
trumptube.lady,19
trumptube.she,19
trumptube.gaga,19
trumptube.world,18
trumptube.supporters,17
trumptube.lol,17
trumptube.clinton,17
trumptube.would,17
trumptube.one,16
trumptube.country,16
trumptube.president,16
trumptube.want,15
trumptube.really,15
trumptube.fuck,15
trumptube.nazi,15
trumptube.see,14
trumptube.donald,14
trumptube.time,14
trumptube.lost,13
trumptube.look,13
trumptube.what,13
trumptube.he,13
trumptube.don,13
trumptube.know,13
trumptube.go,12
trumptube.america,12
trumptube.racist,12
trumptube.win,12
trumptube.and,12
trumptube.make,11
trumptube.god,11
trumptube.stop,11
trumptube.going,11
trumptube.campaign,11
trumptube.thank,11
trumptube.good,11
trumptube.right,11
trumptube.us,11
trumptube.evil,10
trumptube.american,10
